ID|name|describe|positiveName|negativeName|showPercent|lastTime|selfBuff|triggerType|countFightScore
106|迟缓|速度-50%|迟缓|无|Y|2|target|onAttack|Y
107|鹰眼|命中+50%|鹰视|无|Y|3|self|onAttack|Y
108|目盲|命中-50%|刺目|无|Y|3|target|onAttack|Y
109|飘逸|闪避+50%|飘逸|无|Y|2|self|onAttack|Y
110|笨拙|闪避-50%|笨拙|无|Y|2|target|onAttack|Y
111|霸体|受伤-50%|霸体|无|Y|1|self|onDefend|Y
112|弱点|受伤+50%|弱点|无|Y|2|target|onAttack|Y
113|疯魔|伤害/暴击+30%;敌我不分|疯魔|无|Y|2|self|onAttack|Y
114|混乱|敌我不分|混乱|无|Y|2|target|onAttack|Y
115|死战|双方生命越少伤害越高|背水|无|Y|0|target|onAttack|Y
116|穿甲|无视护甲|锐利|无|Y|0|target|onAttack|Y
117|壮骨|力道+50%|壮骨|无|Y|3|self|onAttack|Y
118|断骨|力道-50%|断骨|无|Y|2|target|onAttack|Y
119|舒筋|灵巧+50%|舒筋|无|Y|3|self|onAttack|Y
120|伤筋|灵巧-50%|伤筋|无|Y|2|target|onAttack|Y
121|醒脑|智力+50%|醒脑|无|Y|3|self|onAttack|Y
122|震脑|智力-50%|震脑|无|Y|2|target|onAttack|Y
123|定神|意志+50%|定神|无|Y|3|self|onAttack|Y
124|乱神|意志-50%|乱神|无|Y|2|target|onAttack|Y
125|活血|体质+50%|活血|无|Y|3|self|onAttack|Y
126|凝血|体质-50%|凝血|无|Y|2|target|onAttack|Y
127|通脉|经脉+50%|通脉|无|Y|3|self|onAttack|Y
128|截脉|经脉-50%|截脉|无|Y|2|target|onAttack|Y
129|复生|被击倒后恢复全状态|无|无|Y|0|target|onDefend|Y
130|反伤|受伤时反馈伤害|软猬|无|Y|0|target|onDefend|Y
131|反伤吸内|受伤时吸取内力|无|无|Y|0|target|onDefend|Y
132|反伤削内|受伤时削除内力|无|无|Y|0|target|onDefend|Y
133|击退|将目标击退|无|无|N|0|target|onAttack|Y
134|拉近|将目标拉近|无|无|N|0|target|onAttack|Y
135|慧眼|暴击+50%|慧眼|无|Y|3|self|onAttack|Y
136|昏沉|暴击-50%|昏沉|无|Y|3|target|onAttack|Y
137|铜皮|卸力+50%|铜皮|无|Y|2|self|onDefend|Y
138|脆弱|卸力-50%|脆弱|无|Y|2|target|onAttack|Y
139|不屈|反击+50%|不屈|无|Y|2|self|onDefend|Y
140|重碾|压制+50%|重碾|无|Y|3|self|onAttack|Y
141|连绵|连击+50%|连绵|无|Y|3|self|onAttack|Y
142|断腕|连击-50%|断腕|无|Y|3|target|onAttack|Y
143|断招|断连+50%|断招|无|Y|2|self|onDefend|Y
144|阻滞|断连-50%|阻滞|无|Y|2|target|onAttack|Y
145|杀机|伤害+50%|杀机|无|Y|3|self|onAttack|Y
146|康复|恢复效率+50%|康复|无|Y|3|self|onAttack|Y
147|不愈|恢复效率-50%|不愈|无|Y|3|target|onAttack|Y
148|坚毅|负面抗性+50%|坚毅|无|Y|2|self|onDefend|Y
149|动摇|负面抗性-50%|动摇|无|Y|2|target|onAttack|Y
150|内劲|根据内力差造成真伤|无|无|Y|0|target|onAttack|Y
151|真伤|无法防御的固定伤害|无|无|Y|0|target|onAttack|Y
152|回血|每回合百分比恢复生命|回血|无|Y|0|target|passive|Y
153|回内|每回合百分比恢复内力|回内|无|Y|0|target|passive|Y
154|回体|每回合恢复体力|回体|无|N|0|target|passive|Y
155|自愈|每回合消耗内力治疗伤势|无|无|N|0|target|passive|Y
156|护头|每回合提升头部架势|护头|无|N|0|target|passive|Y
157|护心|每回合提升心部架势|护心|无|N|0|target|passive|Y
158|护胸|每回合提升胸部架势|护胸|无|N|0|target|passive|Y
159|护腹|每回合提升腹部架势|护腹|无|N|0|target|passive|Y
160|护手|每回合提升手部架势|护手|无|N|0|target|passive|Y
161|护足|每回合提升足部架势|护足|无|N|0|target|passive|Y
162|护体真气|消耗内力抵消伤害|无|无|Y|0|target|onDefend|Y
163|反弹|降低所受伤害并反弹|无|无|Y|0|target|onDefend|Y
164|减伤|固定减少伤害|减伤|无|N|0|target|onDefend|Y
165|定身|停止行动条|无|无|Y|4294967295|target|onAttack|Y
166|移距|改变移动距离|无|无|N|0|target|passive|Y
167|神行|移动距离+75%|遁地|无|Y|3|self|onAttack|Y
168|裂膝|移动距离-75%|裂膝|无|Y|2|target|onAttack|Y
169|破招|无视守招的架势防御|无|无|Y|0|target|onAttack|Y
170|拆招|无视攻招的架势削减|无|无|Y|0|target|onDefend|Y
171|斗转|转移攻击至周边三格|无|无|Y|0|target|onDefend|Y
172|声望获取|声望获取|无|无|Y|0|target|passive|N
173|功绩获取|弟子功绩|无|无|Y|0|target|passive|N
174|旅行速度|旅行速度|无|无|Y|0|target|passive|N
175|疗伤效率|疗伤效率|无|无|Y|0|target|passive|N
176|实战经验|实战经验|无|无|Y|0|target|passive|N
177|理论经验|理论经验|无|无|Y|0|target|passive|N
178|技艺经验|技艺经验|无|无|Y|0|target|passive|N
179|内功经验|内功经验|无|无|Y|0|target|passive|N
180|轻功经验|轻功经验|无|无|Y|0|target|passive|N
181|绝技经验|绝技经验|无|无|Y|0|target|passive|N
182|拳掌经验|拳掌经验|无|无|Y|0|target|passive|N
183|剑法经验|剑法经验|无|无|Y|0|target|passive|N
184|刀法经验|刀法经验|无|无|Y|0|target|passive|N
185|长兵经验|长兵经验|无|无|Y|0|target|passive|N
186|奇门经验|奇门经验|无|无|Y|0|target|passive|N
187|射术经验|射术经验|无|无|Y|0|target|passive|N
188|医术经验|医术经验|无|无|Y|0|target|passive|N
189|毒术经验|毒术经验|无|无|Y|0|target|passive|N
190|学识经验|学识经验|无|无|Y|0|target|passive|N
191|口才经验|口才经验|无|无|Y|0|target|passive|N
192|采伐经验|采伐经验|无|无|Y|0|target|passive|N
193|木植经验|木植经验|无|无|Y|0|target|passive|N
194|锻造经验|锻造经验|无|无|Y|0|target|passive|N
195|炼药经验|炼药经验|无|无|Y|0|target|passive|N
196|烹饪经验|烹饪经验|无|无|Y|0|target|passive|N
197|买卖优势|买卖优势|无|无|Y|0|target|passive|N
198|拳掌距离|拳掌攻击距离|无|无|N|0|target|passive|Y
199|剑法距离|剑法攻击距离|无|无|N|0|target|passive|Y
200|刀法距离|刀法攻击距离|无|无|N|0|target|passive|Y
201|长兵距离|长兵攻击距离|无|无|N|0|target|passive|Y
202|奇门距离|奇门攻击距离|无|无|N|0|target|passive|Y
203|射术距离|射术攻击距离|无|无|N|0|target|passive|Y
204|坐骑加成|坐骑加成轻功/力道/体质/意志|无|无|Y|0|target|passive|N
205|装备强化|提升装备基础效果|无|无|Y|0|target|passive|N
206|药性|提升药食效果并降低耐药|无|无|Y|0|target|passive|Y
207|装备负重|提升装备负重|重装|简装|N|0|target|passive|N
208|机关伤害|提升机关建构的伤害|无|无|Y|0|target|passive|Y
209|机关速度|提升机关建构的速度|无|无|Y|0|target|passive|Y
210|机关耐久|提升机关建构的生命|无|无|Y|0|target|passive|Y
211|城防耐久|提升城防建筑耐久|无|无|Y|0|target|passive|N
212|好感获取|提升好感获取|无|无|Y|0|target|passive|N
213|本门武学威力|本门武学威力|无|无|Y|0|target|passive|Y
214|恶名减少|减少恶名|无|无|Y|0|target|passive|Y
